"","diet","genotype","bam_id"
"1","NC","WT","X17.bam"
"2","NC","WT","X18.bam"
"3","NC","WT","X19.bam"
"4","NC","WT","X20.bam"
"5","NC","WT","X21.bam"
"6","NC","WT","X22.bam"
"7","NC","WT","X23.bam"
"8","NC","WT","X24.bam"
"16","ALIOS","WT","X32.bam"
"17","ALIOS","WT","X33.bam"
"18","ALIOS","WT","X34.bam"
"19","ALIOS","WT","X35.bam"
"20","ALIOS","WT","X36.bam"
"21","ALIOS","WT","X37.bam"
"22","ALIOS","WT","X38.bam"
